Date & Time,Humidity,Temperature,Fahrenheit
[2022-11-18 08:56:13.085] ,72.9,10.5,50.9
[2022-11-18 08:56:14.093] ,72.8,10.4,50.72
[2022-11-18 08:56:15.096] ,72.8,10.4,50.72
[2022-11-18 08:56:16.099] ,72.7,10.4,50.72
[2022-11-18 08:56:17.108] ,72.7,10.4,50.72
[2022-11-18 08:56:18.115] ,72.9,10.4,50.72
[2022-11-18 08:56:19.114] ,72.9,10.4,50.72
[2022-11-18 08:56:20.126] ,72.9,10.4,50.72
[2022-11-18 08:56:21.126] ,72.9,10.4,50.72
[2022-11-18 08:56:22.133] ,73,10.4,50.72
[2022-11-18 08:56:23.137] ,73,10.4,50.72
[2022-11-18 08:56:24.144] ,73,10.4,50.72
[2022-11-18 08:56:25.149] ,73,10.4,50.72
[2022-11-18 08:56:26.589] ,73.1,10.4,50.72
[2022-11-18 08:56:27.159] ,73.1,10.4,50.72
[2022-11-18 08:56:28.167] ,73.3,10.3,50.54
[2022-11-18 08:56:29.171] ,73.3,10.3,50.54
[2022-11-18 08:56:31.822] ,73.6,10.3,50.54
[2022-11-18 08:56:31.823] ,73.6,10.3,50.54
[2022-11-18 08:56:32.189] ,73.9,10.3,50.54
[2022-11-18 08:56:33.189] ,73.9,10.3,50.54
[2022-11-18 08:56:34.198] ,74,10.3,50.54
[2022-11-18 08:56:35.201] ,74,10.3,50.54
[2022-11-18 08:56:36.208] ,74.2,10.3,50.54
[2022-11-18 08:56:37.212] ,74.2,10.3,50.54
[2022-11-18 08:56:38.219] ,74.3,10.3,50.54
[2022-11-18 08:56:39.269] ,74.3,10.3,50.54
[2022-11-18 08:56:40.232] ,74.4,10.3,50.54
[2022-11-18 08:56:41.235] ,74.4,10.3,50.54
[2022-11-18 08:56:42.241] ,74.5,10.3,50.54
[2022-11-18 08:56:43.242] ,74.5,10.3,50.54
[2022-11-18 08:56:44.253] ,74.6,10.3,50.54
[2022-11-18 08:56:47.110] ,74.6,10.3,50.54
[2022-11-18 08:56:47.112] ,74.7,10.3,50.54
[2022-11-18 08:56:47.264] ,74.7,10.3,50.54
[2022-11-18 08:56:48.272] ,74.7,10.3,50.54
[2022-11-18 08:56:49.275] ,74.7,10.3,50.54
[2022-11-18 08:56:50.276] ,74.6,10.2,50.36
[2022-11-18 08:56:51.283] ,74.6,10.2,50.36
[2022-11-18 08:56:52.294] ,74.7,10.2,50.36
[2022-11-18 08:56:53.296] ,74.7,10.2,50.36
[2022-11-18 08:56:54.305] ,74.7,10.2,50.36
[2022-11-18 08:56:55.308] ,74.7,10.2,50.36
[2022-11-18 08:56:56.317] ,74.9,10.2,50.36
[2022-11-18 08:56:57.316] ,74.9,10.2,50.36
[2022-11-18 08:56:58.327] ,75,10.2,50.36
[2022-11-18 08:56:59.327] ,75,10.2,50.36
[2022-11-18 08:57:00.335] ,74.9,10.2,50.36
[2022-11-18 08:57:01.339] ,74.9,10.2,50.36
[2022-11-18 08:57:02.347] ,74.8,10.2,50.36
[2022-11-18 08:57:03.347] ,74.8,10.2,50.36
[2022-11-18 08:57:04.357] ,74.8,10.2,50.36
[2022-11-18 08:57:05.363] ,74.8,10.2,50.36
[2022-11-18 08:57:06.368] ,75,10.2,50.36
[2022-11-18 08:57:07.367] ,75,10.2,50.36
[2022-11-18 08:57:08.376] ,75.2,10.2,50.36
[2022-11-18 08:57:09.383] ,75.2,10.2,50.36
[2022-11-18 08:57:10.391] ,75.4,10.2,50.36
[2022-11-18 08:57:11.391] ,75.4,10.2,50.36
[2022-11-18 08:57:12.402] ,75.4,10.2,50.36
[2022-11-18 08:57:13.402] ,75.4,10.2,50.36
[2022-11-18 08:57:14.410] ,75.4,10.2,50.36
[2022-11-18 08:57:15.413] ,75.4,10.2,50.36
[2022-11-18 08:57:16.421] ,75.2,10.2,50.36
[2022-11-18 08:57:17.424] ,75.2,10.2,50.36
[2022-11-18 08:57:18.431] ,75.1,10.2,50.36
[2022-11-18 08:57:19.430] ,75.1,10.2,50.36
[2022-11-18 08:57:20.443] ,75,10.2,50.36
[2022-11-18 08:57:21.447] ,75,10.2,50.36
[2022-11-18 08:57:22.455] ,75,10.2,50.36
[2022-11-18 08:57:23.454] ,75,10.2,50.36
[2022-11-18 08:57:24.465] ,75,10.2,50.36
[2022-11-18 08:57:25.465] ,75,10.2,50.36
[2022-11-18 08:57:26.477] ,75,10.1,50.18
[2022-11-18 08:57:27.475] ,75,10.1,50.18
[2022-11-18 08:57:28.483] ,75,10.1,50.18
[2022-11-18 08:57:29.487] ,75,10.1,50.18
[2022-11-18 08:57:30.495] ,75,10.1,50.18
[2022-11-18 08:57:31.499] ,75,10.1,50.18
[2022-11-18 08:57:32.507] ,75.1,10.1,50.18
[2022-11-18 08:57:33.510] ,75.1,10.1,50.18
[2022-11-18 08:57:34.518] ,75.1,10.1,50.18
[2022-11-18 08:57:35.521] ,75.1,10.1,50.18
[2022-11-18 08:57:36.529] ,75.2,10.1,50.18
[2022-11-18 08:57:37.528] ,75.2,10.1,50.18
[2022-11-18 08:57:38.540] ,75.2,10.1,50.18
[2022-11-18 08:57:39.539] ,75.2,10.1,50.18
[2022-11-18 08:57:40.552] ,75.1,10.1,50.18
[2022-11-18 08:57:41.551] ,75.1,10.1,50.18
[2022-11-18 08:57:42.558] ,75,10.1,50.18
[2022-11-18 08:57:43.562] ,75,10.1,50.18
[2022-11-18 08:57:44.571] ,75,10.1,50.18
[2022-11-18 08:57:45.573] ,75,10.1,50.18
[2022-11-18 08:57:46.582] ,74.9,10.1,50.18
[2022-11-18 08:57:47.585] ,74.9,10.1,50.18
[2022-11-18 08:57:48.592] ,75,10,50
[2022-11-18 08:57:49.596] ,75,10,50
[2022-11-18 08:57:50.604] ,75.1,10.1,50.18
[2022-11-18 08:57:51.603] ,75.1,10.1,50.18
[2022-11-18 08:57:52.615] ,75.3,10.1,50.18
[2022-11-18 08:57:53.614] ,75.3,10.1,50.18
[2022-11-18 08:57:54.622] ,75.5,10,50
[2022-11-18 08:57:55.618] ,75.5,10,50
[2022-11-18 08:57:56.633] ,75.6,10,50
[2022-11-18 08:57:57.637] ,75.6,10,50
[2022-11-18 08:57:58.644] ,75.6,10,50
[2022-11-18 08:57:59.648] ,75.6,10,50
[2022-11-18 08:58:00.655] ,75.6,10,50
[2022-11-18 08:58:01.659] ,75.6,10,50
[2022-11-18 08:58:02.666] ,75.7,10,50
[2022-11-18 08:58:03.666] ,75.7,10,50
[2022-11-18 08:58:04.673] ,75.7,10,50
[2022-11-18 08:58:05.677] ,75.7,10,50
[2022-11-18 08:58:06.685] ,75.8,10,50
[2022-11-18 08:58:07.684] ,75.8,10,50
[2022-11-18 08:58:08.696] ,75.8,10,50
[2022-11-18 08:58:09.700] ,75.8,10,50
[2022-11-18 08:58:10.708] ,75.8,10,50
[2022-11-18 08:58:11.711] ,75.8,10,50
[2022-11-18 08:58:12.719] ,75.7,10,50
[2022-11-18 08:58:13.722] ,75.7,10,50
[2022-11-18 08:58:14.730] ,75.7,10,50
[2022-11-18 08:58:15.729] ,75.7,10,50
[2022-11-18 08:58:16.743] ,75.4,10,50
[2022-11-18 08:58:17.741] ,75.4,10,50
[2022-11-18 08:58:18.749] ,75.3,10,50
[2022-11-18 08:58:19.752] ,75.3,10,50
[2022-11-18 08:58:20.756] ,75.1,9.9,49.82
[2022-11-18 08:58:21.756] ,75.1,9.9,49.82
[2022-11-18 08:58:22.771] ,75,9.9,49.82
[2022-11-18 08:58:23.774] ,75,9.9,49.82
[2022-11-18 08:58:24.782] ,75.1,9.9,49.82
[2022-11-18 08:58:25.787] ,75.1,9.9,49.82
[2022-11-18 08:58:26.793] ,75.1,9.9,49.82
[2022-11-18 08:58:27.793] ,75.1,9.9,49.82
[2022-11-18 08:58:28.805] ,75.2,9.9,49.82
[2022-11-18 08:58:29.804] ,75.2,9.9,49.82
[2022-11-18 08:58:30.809] ,75.4,9.9,49.82
[2022-11-18 08:58:31.813] ,75.4,9.9,49.82
[2022-11-18 08:58:32.823] ,75.5,9.8,49.64
[2022-11-18 08:58:33.826] ,75.5,9.8,49.64
[2022-11-18 08:58:34.833] ,75.7,9.9,49.82
[2022-11-18 08:58:35.838] ,75.7,9.9,49.82
[2022-11-18 08:58:36.845] ,75.9,9.8,49.64
[2022-11-18 08:58:37.849] ,75.9,9.8,49.64
[2022-11-18 08:58:38.857] ,75.9,9.8,49.64
[2022-11-18 08:58:39.856] ,75.9,9.8,49.64
[2022-11-18 08:58:40.864] ,76,9.8,49.64
[2022-11-18 08:58:41.867] ,76,9.8,49.64
[2022-11-18 08:58:42.875] ,75.9,9.8,49.64
[2022-11-18 08:58:43.878] ,75.9,9.8,49.64
[2022-11-18 08:58:44.886] ,75.9,9.8,49.64
[2022-11-18 08:58:45.890] ,75.9,9.8,49.64
[2022-11-18 08:58:46.898] ,75.8,9.8,49.64
[2022-11-18 08:58:47.900] ,75.8,9.8,49.64
[2022-11-18 08:58:48.909] ,75.7,9.8,49.64
[2022-11-18 08:58:49.912] ,75.7,9.8,49.64
[2022-11-18 08:58:50.920] ,75.7,9.8,49.64
[2022-11-18 08:58:51.919] ,75.7,9.8,49.64
[2022-11-18 08:58:52.931] ,75.8,9.8,49.64
[2022-11-18 08:58:53.931] ,75.8,9.8,49.64
[2022-11-18 08:58:54.939] ,75.9,9.8,49.64
[2022-11-18 08:58:55.942] ,75.9,9.8,49.64
[2022-11-18 08:58:56.949] ,75.8,9.8,49.64
[2022-11-18 08:58:57.952] ,75.8,9.8,49.64
[2022-11-18 08:58:58.961] ,75.9,9.8,49.64
[2022-11-18 08:58:59.964] ,75.9,9.8,49.64
[2022-11-18 08:59:00.973] ,75.8,9.8,49.64
[2022-11-18 08:59:01.976] ,75.8,9.8,49.64
[2022-11-18 08:59:02.983] ,75.7,9.8,49.64
[2022-11-18 08:59:03.983] ,75.7,9.8,49.64
[2022-11-18 08:59:04.996] ,75.8,9.8,49.64
[2022-11-18 08:59:05.995] ,75.8,9.8,49.64
[2022-11-18 08:59:07.002] ,75.9,9.8,49.64
[2022-11-18 08:59:08.005] ,75.9,9.8,49.64
[2022-11-18 08:59:09.013] ,75.9,9.8,49.64
[2022-11-18 08:59:10.017] ,75.9,9.8,49.64
[2022-11-18 08:59:11.024] ,75.9,9.8,49.64
[2022-11-18 08:59:12.027] ,75.9,9.8,49.64
[2022-11-18 08:59:13.035] ,75.8,9.8,49.64
[2022-11-18 08:59:14.039] ,75.8,9.8,49.64
[2022-11-18 08:59:15.047] ,75.8,9.8,49.64
[2022-11-18 08:59:16.046] ,75.8,9.8,49.64
[2022-11-18 08:59:17.055] ,75.7,9.8,49.64
[2022-11-18 08:59:18.056] ,75.7,9.8,49.64
[2022-11-18 08:59:19.065] ,75.6,9.8,49.64
[2022-11-18 08:59:20.068] ,75.6,9.8,49.64
[2022-11-18 08:59:21.075] ,75.6,9.8,49.64
[2022-11-18 08:59:22.080] ,75.6,9.8,49.64
[2022-11-18 08:59:23.087] ,75.8,9.8,49.64
[2022-11-18 08:59:24.091] ,75.8,9.8,49.64
[2022-11-18 08:59:25.099] ,76,9.8,49.64
[2022-11-18 08:59:26.097] ,76,9.8,49.64
[2022-11-18 08:59:27.109] ,76.1,9.8,49.64
[2022-11-18 08:59:28.110] ,76.1,9.8,49.64
[2022-11-18 08:59:29.116] ,76,9.8,49.64
[2022-11-18 08:59:30.120] ,76,9.8,49.64
[2022-11-18 08:59:31.128] ,75.9,9.8,49.64
[2022-11-18 08:59:32.132] ,75.9,9.8,49.64
[2022-11-18 08:59:33.134] ,75.8,9.8,49.64
[2022-11-18 08:59:34.143] ,75.8,9.8,49.64
[2022-11-18 08:59:35.151] ,75.8,9.8,49.64
[2022-11-18 08:59:36.154] ,75.8,9.8,49.64
[2022-11-18 08:59:37.162] ,75.9,9.8,49.64
[2022-11-18 08:59:38.162] ,75.9,9.8,49.64
[2022-11-18 08:59:39.173] ,76,9.8,49.64
[2022-11-18 08:59:40.173] ,76,9.8,49.64
[2022-11-18 08:59:41.180] ,76.1,9.8,49.64
[2022-11-18 08:59:42.184] ,76.1,9.8,49.64
[2022-11-18 08:59:43.191] ,76.2,9.8,49.64
[2022-11-18 08:59:44.195] ,76.2,9.8,49.64
[2022-11-18 08:59:45.203] ,76.1,9.8,49.64
[2022-11-18 08:59:46.206] ,76.1,9.8,49.64
[2022-11-18 08:59:47.213] ,76.2,9.8,49.64
[2022-11-18 08:59:48.218] ,76.2,9.8,49.64
[2022-11-18 08:59:49.225] ,76.2,9.8,49.64
[2022-11-18 08:59:50.224] ,76.2,9.8,49.64
[2022-11-18 08:59:51.237] ,76.2,9.8,49.64
[2022-11-18 08:59:52.235] ,76.2,9.8,49.64
[2022-11-18 08:59:53.244] ,76.2,9.8,49.64
[2022-11-18 08:59:54.248] ,76.2,9.8,49.64
[2022-11-18 08:59:55.254] ,76.1,9.8,49.64
[2022-11-18 08:59:56.258] ,76.1,9.8,49.64
[2022-11-18 08:59:57.266] ,76,9.8,49.64
[2022-11-18 08:59:58.269] ,76,9.8,49.64
[2022-11-18 08:59:59.277] ,76.1,9.8,49.64
[2022-11-18 09:00:00.281] ,76.1,9.8,49.64
[2022-11-18 09:00:01.289] ,76.2,9.8,49.64
[2022-11-18 09:00:02.288] ,76.2,9.8,49.64
[2022-11-18 09:00:03.299] ,76.2,9.8,49.64
[2022-11-18 09:00:04.299] ,76.2,9.8,49.64
[2022-11-18 09:00:05.307] ,76.3,9.8,49.64
[2022-11-18 09:00:06.310] ,76.3,9.8,49.64
[2022-11-18 09:00:07.318] ,76.3,9.8,49.64
[2022-11-18 09:00:08.321] ,76.3,9.8,49.64
[2022-11-18 09:00:09.330] ,76.5,9.8,49.64
[2022-11-18 09:00:10.333] ,76.5,9.8,49.64
[2022-11-18 09:00:11.340] ,76.5,9.8,49.64
[2022-11-18 09:00:12.344] ,76.5,9.8,49.64
[2022-11-18 09:00:13.352] ,76.6,9.8,49.64
[2022-11-18 09:00:14.351] ,76.6,9.8,49.64
[2022-11-18 09:00:15.359] ,76.4,9.8,49.64
[2022-11-18 09:00:16.362] ,76.4,9.8,49.64
[2022-11-18 09:00:17.370] ,76.2,9.8,49.64
[2022-11-18 09:00:18.374] ,76.2,9.8,49.64
[2022-11-18 09:00:19.381] ,76,9.8,49.64
[2022-11-18 09:00:20.385] ,76,9.8,49.64
[2022-11-18 09:00:21.392] ,75.8,9.8,49.64
[2022-11-18 09:00:22.396] ,75.8,9.8,49.64
[2022-11-18 09:00:23.404] ,75.7,9.8,49.64
[2022-11-18 09:00:24.403] ,75.7,9.8,49.64
[2022-11-18 09:00:25.416] ,75.7,9.8,49.64
[2022-11-18 09:00:26.415] ,75.7,9.8,49.64
[2022-11-18 09:00:27.422] ,75.6,9.8,49.64
[2022-11-18 09:00:28.425] ,75.6,9.8,49.64
[2022-11-18 09:00:29.433] ,75.8,9.8,49.64
[2022-11-18 09:00:30.436] ,75.8,9.8,49.64
[2022-11-18 09:00:31.444] ,76,9.8,49.64
[2022-11-18 09:00:32.448] ,76,9.8,49.64
[2022-11-18 09:00:33.456] ,76.1,9.8,49.64
[2022-11-18 09:00:34.455] ,76.1,9.8,49.64
[2022-11-18 09:00:35.467] ,76,9.7,49.46
[2022-11-18 09:00:36.467] ,76,9.7,49.46
[2022-11-18 09:00:37.474] ,76,9.7,49.46
[2022-11-18 09:00:38.478] ,76,9.7,49.46
[2022-11-18 09:00:39.485] ,75.9,9.8,49.64
[2022-11-18 09:00:40.489] ,75.9,9.8,49.64
[2022-11-18 09:00:41.497] ,75.9,9.8,49.64
[2022-11-18 09:00:42.500] ,75.9,9.8,49.64
[2022-11-18 09:00:43.508] ,75.8,9.8,49.64
[2022-11-18 09:00:44.512] ,75.8,9.8,49.64
[2022-11-18 09:00:45.519] ,75.9,9.8,49.64
[2022-11-18 09:00:46.519] ,75.9,9.8,49.64
[2022-11-18 09:00:47.530] ,76,9.8,49.64
[2022-11-18 09:00:48.530] ,76,9.8,49.64
[2022-11-18 09:00:49.538] ,76,9.8,49.64
[2022-11-18 09:00:50.542] ,76,9.8,49.64
[2022-11-18 09:00:51.549] ,76,9.8,49.64
[2022-11-18 09:00:52.553] ,76,9.8,49.64
[2022-11-18 09:00:53.560] ,76,9.8,49.64
[2022-11-18 09:00:54.563] ,76,9.8,49.64
[2022-11-18 09:00:55.570] ,76,9.8,49.64
[2022-11-18 09:00:56.571] ,76,9.8,49.64
[2022-11-18 09:00:57.584] ,76,9.8,49.64
[2022-11-18 09:00:58.582] ,76,9.8,49.64
[2022-11-18 09:00:59.589] ,76,9.8,49.64
[2022-11-18 09:01:00.593] ,76,9.8,49.64
[2022-11-18 09:01:01.600] ,76,9.8,49.64
[2022-11-18 09:01:02.604] ,76,9.8,49.64
[2022-11-18 09:01:03.611] ,76,9.8,49.64
[2022-11-18 09:01:04.615] ,76,9.8,49.64
[2022-11-18 09:01:05.623] ,76.2,9.8,49.64
[2022-11-18 09:01:06.627] ,76.2,9.8,49.64
[2022-11-18 09:01:07.635] ,76.2,9.8,49.64
[2022-11-18 09:01:08.634] ,76.2,9.8,49.64
[2022-11-18 09:01:09.646] ,76.3,9.8,49.64
[2022-11-18 09:01:10.645] ,76.3,9.8,49.64
[2022-11-18 09:01:11.652] ,76.2,9.8,49.64
[2022-11-18 09:01:12.655] ,76.2,9.8,49.64
[2022-11-18 09:01:13.662] ,76.2,9.8,49.64
[2022-11-18 09:01:14.667] ,76.2,9.8,49.64
[2022-11-18 09:01:15.673] ,76.3,9.8,49.64
[2022-11-18 09:01:16.678] ,76.3,9.8,49.64
[2022-11-18 09:01:17.685] ,76.5,9.8,49.64
[2022-11-18 09:01:18.687] ,76.5,9.8,49.64
[2022-11-18 09:01:19.696] ,76.7,9.8,49.64
[2022-11-18 09:01:20.695] ,76.7,9.8,49.64
[2022-11-18 09:01:21.705] ,76.7,9.8,49.64
[2022-11-18 09:01:22.706] ,76.7,9.8,49.64
[2022-11-18 09:01:23.713] ,76.8,9.8,49.64
[2022-11-18 09:01:24.718] ,76.8,9.8,49.64
[2022-11-18 09:01:25.725] ,77.1,9.8,49.64
[2022-11-18 09:01:26.728] ,77.1,9.8,49.64
[2022-11-18 09:01:27.736] ,77.2,9.8,49.64
[2022-11-18 09:01:28.739] ,77.2,9.8,49.64
[2022-11-18 09:01:29.747] ,77,9.8,49.64
[2022-11-18 09:01:30.746] ,77,9.8,49.64
[2022-11-18 09:01:31.754] ,77,9.8,49.64
[2022-11-18 09:01:32.753] ,77,9.8,49.64
[2022-11-18 09:01:33.764] ,77,9.8,49.64
[2022-11-18 09:01:34.768] ,77,9.8,49.64
[2022-11-18 09:01:35.776] ,77,9.8,49.64
[2022-11-18 09:01:36.779] ,77,9.8,49.64
[2022-11-18 09:01:37.787] ,76.8,9.8,49.64
[2022-11-18 09:01:38.785] ,76.8,9.8,49.64
[2022-11-18 09:01:39.798] ,76.6,9.8,49.64
[2022-11-18 09:01:40.797] ,76.6,9.8,49.64
[2022-11-18 09:01:41.803] ,76.5,9.8,49.64
[2022-11-18 09:01:42.810] ,76.5,9.8,49.64
[2022-11-18 09:01:43.815] ,76.6,9.8,49.64
[2022-11-18 09:01:44.819] ,76.6,9.8,49.64
[2022-11-18 09:01:45.828] ,76.8,9.8,49.64
[2022-11-18 09:01:46.830] ,76.8,9.8,49.64
[2022-11-18 09:01:47.839] ,77,9.8,49.64
[2022-11-18 09:01:48.838] ,77,9.8,49.64
[2022-11-18 09:01:49.849] ,77.2,9.8,49.64
[2022-11-18 09:01:50.849] ,77.2,9.8,49.64
[2022-11-18 09:01:51.856] ,77.3,9.8,49.64
[2022-11-18 09:01:52.857] ,77.3,9.8,49.64
[2022-11-18 09:01:53.869] ,77.2,9.8,49.64
[2022-11-18 09:01:54.872] ,77.2,9.8,49.64
[2022-11-18 09:01:55.878] ,77.1,9.8,49.64
[2022-11-18 09:01:56.882] ,77.1,9.8,49.64
